Time,rep1,rep2,rep3,rep4
6.539994,-0.02559869,-0.02448363,-0.0234421,-0.0236958
6.659994,-0.02591939,-0.02480733,-0.0237574,-0.0240538
6.779994,-0.02638359,-0.02517543,-0.0240892,-0.0243835
6.899994,-0.02671009,-0.02555183,-0.0244596,-0.0247542
7.019994,-0.02707899,-0.02594773,-0.0248432,-0.0250089
7.139994,-0.02738639,-0.02629493,-0.0251527,-0.0253543
7.259994,-0.02778659,-0.02660693,-0.025497,-0.0257274
7.379994,-0.02819719,-0.02703033,-0.0257987,-0.026073
7.499993,-0.02857339,-0.02724593,-0.0261801,-0.0264179
7.619993,-0.02888469,-0.02758433,-0.0265331,-0.0267418
7.739993,-0.02918149,-0.02790983,-0.0268816,-0.0270805
7.859993,-0.02950029,-0.02826873,-0.0271423,-0.0274585
7.979993,-0.02983889,-0.02859983,-0.0274611,-0.0277777
8.099993,-0.03029469,-0.02897833,-0.0277561,-0.028101
8.219993,-0.03053989,-0.02932313,-0.0280854,-0.0283527
8.339993,-0.03077719,-0.02964163,-0.0284582,-0.0286422
8.459992,-0.03108109,-0.02994443,-0.0286996,-0.0289973
8.579992,-0.03136409,-0.03028843,-0.028979,-0.0293003
8.699992,-0.03179579,-0.03050463,-0.0292655,-0.0295748
8.819992,-0.03216219,-0.03083353,-0.0296291,-0.0298251
8.939992,-0.03245049,-0.03116933,-0.0299437,-0.0301488
9.059992,-0.03272789,-0.03149243,-0.0302063,-0.0304648
9.179992,-0.03307019,-0.03174343,-0.0305842,-0.0307759
9.299992,-0.03335899,-0.03209803,-0.0307884,-0.0310286
9.419992,-0.03375629,-0.03240283,-0.0311058,-0.0312945
9.539991,-0.03404219,-0.03277123,-0.0314178,-0.0315986
9.659991,-0.03421159,-0.03305923,-0.0316708,-0.0318897
9.779991,-0.03451729,-0.03327053,-0.0319219,-0.0321968
9.899991,-0.03477099,-0.03355513,-0.0321912,-0.0324946
10.01999,-0.03516179,-0.03386543,-0.0324394,-0.0327536
10.13999,-0.03551989,-0.03423533,-0.0328191,-0.0330001
10.25999,-0.03577289,-0.03451403,-0.0330049,-0.0333043
10.37999,-0.03598979,-0.03473173,-0.0332559,-0.0335914
10.49999,-0.03631349,-0.03499253,-0.0334892,-0.0338679
10.61999,-0.03661869,-0.03506843,-0.0337574,-0.034118
10.73999,-0.03690739,-0.03530243,-0.0341398,-0.0345102
10.85999,-0.03723109,-0.03561043,-0.0343261,-0.0346401
10.97999,-0.03738049,-0.03590923,-0.0345736,-0.0349452
11.09999,-0.03764269,-0.03613763,-0.0347972,-0.0352105
11.21999,-0.03790039,-0.03637873,-0.0350306,-0.0354649
11.33999,-0.03821129,-0.03667593,-0.0353308,-0.0356232
11.45999,-0.03851289,-0.03699243,-0.0356663,-0.0359086
11.57999,-0.03871769,-0.03726213,-0.0357972,-0.0362176
11.69999,-0.03890899,-0.03751173,-0.0359527,-0.0364908
11.81999,-0.03917969,-0.03772353,-0.0362436,-0.0367096
11.93999,-0.03950939,-0.03792413,-0.036514,-0.0369299
12.05999,-0.03976629,-0.03821983,-0.0367828,-0.0371472
12.17999,-0.04007859,-0.03848123,-0.0370479,-0.0374358
12.29999,-0.04021589,-0.03870583,-0.0372127,-0.0376967
12.41999,-0.04046239,-0.03899943,-0.0374258,-0.0379217
12.53999,-0.04071709,-0.03919163,-0.0376407,-0.0381219
12.65999,-0.04101539,-0.03939103,-0.0378812,-0.0383399
12.77999,-0.04124429,-0.03965043,-0.038133,-0.0386036
12.89999,-0.04140889,-0.04000203,-0.038375,-0.0388661
13.01999,-0.04164849,-0.04006013,-0.0385308,-0.0390673
13.13999,-0.04192289,-0.04027713,-0.0386911,-0.0392715
13.25999,-0.04218299,-0.04054463,-0.038983,-0.0394427
13.37999,-0.04243339,-0.04086143,-0.039223,-0.0396554
13.49999,-0.04268029,-0.04108303,-0.0394334,-0.0398928
13.61999,-0.04283639,-0.04130073,-0.0395659,-0.0401322
13.73999,-0.04306519,-0.04149813,-0.0397816,-0.0404163
13.85999,-0.04331629,-0.04170493,-0.0400032,-0.0405521
13.97999,-0.04354979,-0.04196883,-0.0402003,-0.0407994
14.09999,-0.04375579,-0.04221853,-0.0403794,-0.0409544
14.21999,-0.04396729,-0.04244533,-0.0405995,-0.0412028
14.33999,-0.04416349,-0.04262233,-0.0407518,-0.0414247
14.45999,-0.04441749,-0.04281313,-0.0409538,-0.0415783
14.57999,-0.04463599,-0.04300903,-0.0412219,-0.0417339
14.69999,-0.04486549,-0.04329273,-0.0413902,-0.0419721
14.81999,-0.04500549,-0.04347393,-0.0415483,-0.0422192
14.93999,-0.04523859,-0.04363213,-0.0417149,-0.0424258
15.05999,-0.04535499,-0.04384473,-0.0418817,-0.0425892
15.17999,-0.04561669,-0.04403993,-0.0421147,-0.0427357
15.29999,-0.04584249,-0.04425033,-0.0423151,-0.0429658
15.41999,-0.04598489,-0.04446003,-0.0424101,-0.0431692
15.53999,-0.04617859,-0.04461323,-0.0425772,-0.0433567
15.65999,-0.04640509,-0.04473783,-0.0427676,-0.0435258
15.77999,-0.04664829,-0.04493893,-0.0429757,-0.043746
15.89998,-0.04683959,-0.04519043,-0.0431283,-0.0439025
16.01998,-0.04696699,-0.04541583,-0.0433071,-0.0440593
16.13998,-0.04709129,-0.04564513,-0.0434347,-0.0443173
16.25998,-0.04733629,-0.04572803,-0.0435959,-0.0444244
16.37998,-0.04747859,-0.04591023,-0.0437487,-0.0446485
16.49998,-0.04771059,-0.04611593,-0.0439391,-0.0448088
16.61998,-0.04789589,-0.04627783,-0.0441367,-0.0449934
16.73998,-0.04793669,-0.04652173,-0.0442601,-0.0451734
16.85998,-0.04814169,-0.04662553,-0.0444145,-0.0453275
