Time,rep1,rep2,rep3,rep4,rep5
9.659991,-0.07860782,-0.07472134,-0.0733622,-0.06936406,-0.07025728
9.779991,-0.07853102,-0.07476874,-0.0733784,-0.06937736,-0.07032838
9.899991,-0.07850802,-0.07479364,-0.073446,-0.06925876,-0.07033678
10.01999,-0.07857872,-0.07481524,-0.0734603,-0.06908876,-0.07032708
10.13999,-0.07860252,-0.07480264,-0.0734209,-0.06913816,-0.07034178
10.25999,-0.07856502,-0.07477514,-0.0733983,-0.06914876,-0.07035658
10.37999,-0.07856462,-0.07480654,-0.073347,-0.06917656,-0.07036098
10.49999,-0.07850622,-0.07483524,-0.0733898,-0.06910096,-0.07036488
10.61999,-0.07847972,-0.07491484,-0.0734671,-0.06914216,-0.07038378
10.73999,-0.07855742,-0.07487854,-0.0733015,-0.06916946,-0.07037328
10.85999,-0.07856032,-0.07481374,-0.0731893,-0.06921406,-0.07052028
10.97999,-0.07851062,-0.07483334,-0.073164,-0.06917206,-0.07049228
11.09999,-0.07852392,-0.07487534,-0.0732102,-0.06917976,-0.07041908
11.21999,-0.07852022,-0.07495324,-0.0732704,-0.06913966,-0.07049388
11.33999,-0.07856642,-0.07491004,-0.0732953,-0.06932426,-0.07038918
11.45999,-0.07860182,-0.07486834,-0.0732432,-0.06947116,-0.07042268
11.57999,-0.07848692,-0.07485004,-0.073168,-0.06922476,-0.07044508
11.69999,-0.07844522,-0.07487784,-0.0732267,-0.06921006,-0.07051168
11.81999,-0.07846802,-0.07493584,-0.073245,-0.06914046,-0.07053628
11.93999,-0.07859142,-0.07493874,-0.0732465,-0.06918346,-0.07051878
12.05999,-0.07858482,-0.07490514,-0.0732389,-0.06924336,-0.07048028
12.17999,-0.07853312,-0.07488224,-0.0731619,-0.06920686,-0.07047528
12.29999,-0.07846412,-0.07490044,-0.0730169,-0.06922846,-0.07051258
12.41999,-0.07849712,-0.07494164,-0.0731893,-0.06916496,-0.07055048
12.53999,-0.07856472,-0.07496674,-0.0730664,-0.06917926,-0.07055538
12.65999,-0.07853132,-0.07490874,-0.0730373,-0.06919226,-0.07048678
12.77999,-0.07852772,-0.07488184,-0.0729526,-0.06938936,-0.07049488
