model,total_params,type,family,spearman
ESM2-150M,148161274,base,esm2,0.4002212618518387
ESM2-650M,651085494,base,esm2-650,0.42967396089722276
ESM-C 300M,332997184,base,esmc,0.4227416084038844
ProGen2-small,151000000,base,progen,0.333653146187091
ProGen2-medium,764000000,base,progen,0.37940429579242435
ProGen2-large,2700000000,base,progen,0.3784762060555657
ProGen2-xlarge,6400000000,base,progen,0.3925362316515456
Tranception-S,85000000,base,tranception,0.30334775478432785
Tranception-M,300000000,base,tranception,0.3506229571309815
Tranception-L,700000000,base,tranception,0.3731054354074546
PEINT (ESM2-150M),171593627,PEINT,esm2,0.43877499102537315
PEINT (ESM2-650M),744644567,PEINT,esm2-650,0.44739657952449735
PEINT (ESM-C 300M),359880128,PEINT,esmc,0.4244378412736056
