family,assay_type,spearman,model
CASP3_HUMAN_Roychowdhury_2020,Activity,0.638751681419144,m0
CASP7_HUMAN_Roychowdhury_2020,Activity,0.6322666512728052,m0
CATR_CHLRE_Tsuboyama_2023_2AMI,Stability,0.6877687948056349,m0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,Stability,0.7361848237990265,m0
CBS_HUMAN_Sun_2020,OrganismalFitness,0.3350107505785334,m0
CBX4_HUMAN_Tsuboyama_2023_2K28,Stability,0.699255909455606,m0
CCDB_ECOLI_Adkar_2012,Activity,0.4064423465936578,m0
CCDB_ECOLI_Tripathi_2016,OrganismalFitness,0.462255439165841,m0
CCR5_HUMAN_Gill_2023,Binding,0.361699864664265,m0
CD19_HUMAN_Klesmith_2019_FMC_singles,Binding,0.0538302621050996,m0
CP2C9_HUMAN_Amorosi_2021_abundance,Expression,0.6247276105483067,m0
CP2C9_HUMAN_Amorosi_2021_activity,Binding,0.6786748254743477,m0
CSN4_MOUSE_Tsuboyama_2023_1UFM,Stability,0.518177048954912,m0
CUE1_YEAST_Tsuboyama_2023_2MYX,Stability,0.4775323601431958,m0
D7PM05_CLYGR_Somermeyer_2022,Activity,0.0357910626910034,m0
DLG4_HUMAN_Faure_2021,OrganismalFitness,0.7280850077326312,m0
DLG4_RAT_McLaughlin_2012,Binding,0.5812412655796111,m0
DN7A_SACS2_Tsuboyama_2023_1JIC,Stability,0.2545120936679825,m0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,Stability,0.8167095723366473,m0
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,Stability,0.4857162567401147,m0
DYR_ECOLI_Nguyen_2023,OrganismalFitness,0.5253019203862132,m0
DYR_ECOLI_Thompson_2019,OrganismalFitness,0.4549381658189679,m0
ENV_HV1B9_DuenasDecamp_2016,OrganismalFitness,0.0350657292206976,m0
ENV_HV1BR_Haddox_2016,OrganismalFitness,0.0037588800748931,m0
ENVZ_ECOLI_Ghose_2023,Activity,0.1948428517480323,m0
EPHB2_HUMAN_Tsuboyama_2023_1F0M,Stability,0.8029112685969079,m0
ESTA_BACSU_Nutschel_2020,Stability,0.2669547282879529,m0
F7YBW8_MESOW_Ding_2023,OrganismalFitness,0.6316429354424447,m0
F7YBW8_MESOW_Aakre_2015,OrganismalFitness,0.048500540514154,m0
FECA_ECOLI_Tsuboyama_2023_2D1U,Stability,0.535920258163154,m0
FKBP3_HUMAN_Tsuboyama_2023_2KFV,Stability,0.1473758380980919,m0
GAL4_YEAST_Kitzman_2015,OrganismalFitness,0.5275816914433054,m0
GCN4_YEAST_Staller_2018,Binding,0.2664115517196122,m0
GDIA_HUMAN_Silverstein_2021,OrganismalFitness,0.4476430338991227,m0
GFP_AEQVI_Sarkisyan_2016,Activity,0.1034793886850645,m0
GLPA_HUMAN_Elazar_2016,Expression,0.4531754645080743,m0
GRB2_HUMAN_Faure_2021,OrganismalFitness,0.625852621374101,m0
HCP_LAMBD_Tsuboyama_2023_2L6Q,Stability,0.5740048654460096,m0
HECD1_HUMAN_Tsuboyama_2023_3DKM,Stability,0.4737097644946991,m0
HEM3_HUMAN_Loggerenberg_2023,Activity,0.4075804288256546,m0
HIS7_YEAST_Pokusaeva_2019,OrganismalFitness,0.4400564495001458,m0
HMDH_HUMAN_Jiang_2019,OrganismalFitness,0.3172199188276824,m0
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,OrganismalFitness,0.2342578710018514,m0
HSP82_YEAST_Flynn_2019,OrganismalFitness,0.1743468147200499,m0
HSP82_YEAST_Mishra_2016,OrganismalFitness,0.3717939709644248,m0
HXK4_HUMAN_Gersing_2022_activity,OrganismalFitness,0.5095150915166697,m0
HXK4_HUMAN_Gersing_2023_abundance,Expression,0.3283710723821845,m0
I6TAH8_I68A0_Doud_2015,OrganismalFitness,0.0102524645307395,m0
IF1_ECOLI_Kelsic_2016,OrganismalFitness,0.5501435000377455,m0
ILF3_HUMAN_Tsuboyama_2023_2L33,Stability,0.4346683224692588,m0
ISDH_STAAW_Tsuboyama_2023_2LHR,Stability,0.4492982071947453,m0
KCNE1_HUMAN_Muhammad_2023_expression,Expression,0.129154742959711,m0
KCNE1_HUMAN_Muhammad_2023_function,Activity,0.5988125375386785,m0
KCNJ2_MOUSE_Coyote-Maestas_2022_function,Activity,0.3788588912936628,m0
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,Expression,0.3698158839793004,m0
KKA2_KLEPN_Melnikov_2014,OrganismalFitness,0.48741642124907,m0
LGK_LIPST_Klesmith_2015,Activity,0.381504808415038,m0
LYAM1_HUMAN_Elazar_2016,Expression,0.3362115912847347,m0
MAFG_MOUSE_Tsuboyama_2023_1K1V,Stability,0.4709013046805827,m0
MBD11_ARATH_Tsuboyama_2023_6ACV,Stability,0.7421616311583668,m0
MET_HUMAN_Estevam_2023,Activity,0.5421483554245995,m0
MK01_HUMAN_Brenan_2016,OrganismalFitness,0.1951809852987503,m0
MLAC_ECOLI_MacRae_2023,OrganismalFitness,0.2727512948152807,m0
MSH2_HUMAN_Jia_2020,OrganismalFitness,0.3970042716800577,m0
MTH3_HAEAE_RockahShmuel_2015,OrganismalFitness,0.4048635689468516,m0
MTHR_HUMAN_Weile_2021,OrganismalFitness,0.4822211571172368,m0
MYO3_YEAST_Tsuboyama_2023_2BTT,Stability,0.5833722129073691,m0
NCAP_I34A1_Doud_2015,OrganismalFitness,0.0204068989548546,m0
NKX31_HUMAN_Tsuboyama_2023_2L9R,Stability,0.6739289781604968,m0
NRAM_I33A0_Jiang_2016,OrganismalFitness,0.0050136615645807,m0
NUD15_HUMAN_Suiter_2020,Expression,0.459806342612814,m0
NUSA_ECOLI_Tsuboyama_2023_1WCL,Stability,0.4047865488372205,m0
NUSG_MYCTU_Tsuboyama_2023_2MI6,Stability,0.5096982941805422,m0
OBSCN_HUMAN_Tsuboyama_2023_1V1C,Stability,0.8194618594178568,m0
ODP2_GEOSE_Tsuboyama_2023_1W4G,Stability,0.1402571275801676,m0
OPSD_HUMAN_Wan_2019,Expression,0.5181577752250689,m0
OTC_HUMAN_Lo_2023,Activity,0.5116786046894719,m0
OTU7A_HUMAN_Tsuboyama_2023_2L2D,Stability,0.5878809707146226,m0
OXDA_RHOTO_Vanella_2023_activity,Activity,0.3258054615061049,m0
OXDA_RHOTO_Vanella_2023_expression,Expression,0.2976015486434833,m0
P53_HUMAN_Giacomelli_2018_Null_Etoposide,OrganismalFitness,0.3143474202152545,m0
P53_HUMAN_Giacomelli_2018_Null_Nutlin,OrganismalFitness,0.2897284653620466,m0
P53_HUMAN_Giacomelli_2018_WT_Nutlin,OrganismalFitness,0.3620805381649376,m0
P53_HUMAN_Kotler_2018,OrganismalFitness,0.6284415611251148,m0
P84126_THETH_Chan_2017,OrganismalFitness,0.5590096174869181,m0
PA_I34A1_Wu_2015,OrganismalFitness,0.0251310901509895,m0
PABP_YEAST_Melamed_2013,OrganismalFitness,0.6483156124160632,m0
PAI1_HUMAN_Huttinger_2021,Activity,0.4340650690983354,m0
PHOT_CHLRE_Chen_2023,Activity,0.7139445737628272,m0
PIN1_HUMAN_Tsuboyama_2023_1I6C,Stability,0.6653968178420093,m0
PITX2_HUMAN_Tsuboyama_2023_2L7M,Stability,0.6747474650000139,m0
PKN1_HUMAN_Tsuboyama_2023_1URF,Stability,0.4635598281364564,m0
POLG_DEN26_Suphatrakul_2023,OrganismalFitness,0.0771172346781457,m0
POLG_PESV_Tsuboyama_2023_2MXD,Stability,0.0305109248428312,m0
PPARG_HUMAN_Majithia_2016,Activity,0.4564511759897281,m0
PPM1D_HUMAN_Miller_2022,OrganismalFitness,0.4700009021542446,m0
PR40A_HUMAN_Tsuboyama_2023_1UZC,Stability,0.821353908334925,m0
PRKN_HUMAN_Clausen_2023,Expression,0.363120693351832,m0
PSAE_PICP2_Tsuboyama_2023_1PSE,Stability,0.6779199200362924,m0
PTEN_HUMAN_Matreyek_2021,Expression,0.4619800977652777,m0
PTEN_HUMAN_Mighell_2018,Activity,0.5463386954553975,m0
