family,assay_type,spearman,model
A0A192B1T2_9HIV1_Haddox_2018,OrganismalFitness,0.0351414110035472,base
A0A1I9GEU1_NEIME_Kennouche_2019,Activity,-0.0158078841884982,base
A0A247D711_LISMN_Stadelmann_2021,Activity,0.0966401211162058,base
A0A2Z5U3Z0_9INFA_Doud_2016,OrganismalFitness,0.0635897277983041,base
A0A2Z5U3Z0_9INFA_Wu_2014,OrganismalFitness,0.073126271510083,base
A4_HUMAN_Seuma_2022,Stability,0.3724557004281829,base
A4D664_9INFA_Soh_2019,OrganismalFitness,0.0269238624701307,base
A4GRB6_PSEAI_Chen_2020,OrganismalFitness,0.6550165202533665,base
AACC1_PSEAI_Dandage_2018,OrganismalFitness,0.2563642337972122,base
ACE2_HUMAN_Chan_2020,Binding,0.2155816521934452,base
ADRB2_HUMAN_Jones_2020,Activity,0.474241381966745,base
AICDA_HUMAN_Gajula_2014_3cycles,Activity,0.1964487745829886,base
AMFR_HUMAN_Tsuboyama_2023_4G3O,Stability,0.3214899120559024,base
AMIE_PSEAE_Wrenbeck_2017,Activity,0.4277836495578145,base
ANCSZ_Hobbs_2022,Activity,0.5980690583275431,base
ARGR_ECOLI_Tsuboyama_2023_1AOY,Stability,0.5111299152309362,base
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,Binding,0.1513486116963135,base
BBC1_YEAST_Tsuboyama_2023_1TG0,Stability,0.4230895200980898,base
BCHB_CHLTE_Tsuboyama_2023_2KRU,Stability,0.3006350764295222,base
BLAT_ECOLX_Deng_2012,OrganismalFitness,0.4609080253269955,base
BLAT_ECOLX_Firnberg_2014,OrganismalFitness,0.6577627554277122,base
BLAT_ECOLX_Jacquier_2013,OrganismalFitness,0.6259659793225515,base
BLAT_ECOLX_Stiffler_2015,OrganismalFitness,0.6605181758607965,base
C6KNH7_9INFA_Lee_2018,OrganismalFitness,-0.0072286488900435,base
CALM1_HUMAN_Weile_2017,OrganismalFitness,0.1949692676813614,base
CAPSD_AAV2S_Sinai_2021,OrganismalFitness,0.202620756130177,base
CASP3_HUMAN_Roychowdhury_2020,Activity,0.638751681419144,base
CASP7_HUMAN_Roychowdhury_2020,Activity,0.6322666512728052,base
CATR_CHLRE_Tsuboyama_2023_2AMI,Stability,0.6877687948056349,base
CBPA2_HUMAN_Tsuboyama_2023_1O6X,Stability,0.7361848237990265,base
CBS_HUMAN_Sun_2020,OrganismalFitness,0.3350107505785334,base
CBX4_HUMAN_Tsuboyama_2023_2K28,Stability,0.699255909455606,base
CCDB_ECOLI_Adkar_2012,Activity,0.4064423465936578,base
CCDB_ECOLI_Tripathi_2016,OrganismalFitness,0.462255439165841,base
CCR5_HUMAN_Gill_2023,Binding,0.361699864664265,base
