key,assay_type,spearman,base_lm,kind
ESM-C 300M|base,Activity,0.4275655969015531,ESM-C 300M,Base pLM
ESM-C 300M|base,Binding,0.3369862446849639,ESM-C 300M,Base pLM
ESM-C 300M|base,Expression,0.43005246162062466,ESM-C 300M,Base pLM
ESM-C 300M|base,OrganismalFitness,0.39339479307272646,ESM-C 300M,Base pLM
ESM-C 300M|base,Stability,0.5257089457395541,ESM-C 300M,Base pLM
ESM-C 300M|peint,Activity,0.4586145827416425,ESM-C 300M,PEINT
ESM-C 300M|peint,Binding,0.3176729034549493,ESM-C 300M,PEINT
ESM-C 300M|peint,Expression,0.42841143993212366,ESM-C 300M,PEINT
ESM-C 300M|peint,OrganismalFitness,0.4152544343370573,ESM-C 300M,PEINT
ESM-C 300M|peint,Stability,0.5022358459022552,ESM-C 300M,PEINT
ESM2-150M|base,Activity,0.3951245858510756,ESM2-150M,Base pLM
ESM2-150M|base,Binding,0.34390444377004803,ESM2-150M,Base pLM
ESM2-150M|base,Expression,0.4222066950212647,ESM2-150M,Base pLM
ESM2-150M|base,OrganismalFitness,0.32995027394757365,ESM2-150M,Base pLM
ESM2-150M|base,Stability,0.5099203106692312,ESM2-150M,Base pLM
ESM2-150M|peint,Activity,0.45561022980011595,ESM2-150M,PEINT
ESM2-150M|peint,Binding,0.3496282780638127,ESM2-150M,PEINT
ESM2-150M|peint,Expression,0.4371741806168076,ESM2-150M,PEINT
ESM2-150M|peint,OrganismalFitness,0.4321141276127593,ESM2-150M,PEINT
ESM2-150M|peint,Stability,0.5193969455032031,ESM2-150M,PEINT
ESM2-650M|base,Activity,0.43323636609089367,ESM2-650M,Base pLM
ESM2-650M|base,Binding,0.3559839728748777,ESM2-650M,Base pLM
ESM2-650M|base,Expression,0.4398308366369801,ESM2-650M,Base pLM
ESM2-650M|base,OrganismalFitness,0.39604561579893816,ESM2-650M,Base pLM
ESM2-650M|base,Stability,0.5232730130844243,ESM2-650M,Base pLM
ESM2-650M|peint,Activity,0.47120137224807546,ESM2-650M,PEINT
ESM2-650M|peint,Binding,0.3516754212870421,ESM2-650M,PEINT
ESM2-650M|peint,Expression,0.4540288994546772,ESM2-650M,PEINT
ESM2-650M|peint,OrganismalFitness,0.44460366201317203,ESM2-650M,PEINT
ESM2-650M|peint,Stability,0.5154735426195198,ESM2-650M,PEINT
