family,assay_type,spearman,model
A0A192B1T2_9HIV1_Haddox_2018,OrganismalFitness,0.4783025361394646,base
A0A1I9GEU1_NEIME_Kennouche_2019,Activity,0.0583021868523538,base
A0A247D711_LISMN_Stadelmann_2021,Activity,0.0960823844746496,base
A0A2Z5U3Z0_9INFA_Doud_2016,OrganismalFitness,0.0457020808070823,base
A0A2Z5U3Z0_9INFA_Wu_2014,OrganismalFitness,0.0898688747501938,base
A4_HUMAN_Seuma_2022,Stability,0.5169140567228255,base
A4D664_9INFA_Soh_2019,OrganismalFitness,0.0279362782029912,base
A4GRB6_PSEAI_Chen_2020,OrganismalFitness,0.6800962976863746,base
AACC1_PSEAI_Dandage_2018,OrganismalFitness,0.5188892723479347,base
ACE2_HUMAN_Chan_2020,Binding,0.2327928840002188,base
ADRB2_HUMAN_Jones_2020,Activity,0.5395595269339003,base
AICDA_HUMAN_Gajula_2014_3cycles,Activity,0.2878844913067916,base
AMFR_HUMAN_Tsuboyama_2023_4G3O,Stability,0.3639952591908846,base
AMIE_PSEAE_Wrenbeck_2017,Activity,0.4553986469242143,base
ANCSZ_Hobbs_2022,Activity,0.5924511872468371,base
ARGR_ECOLI_Tsuboyama_2023_1AOY,Stability,0.5845722354441529,base
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,Binding,0.1654053326817931,base
BBC1_YEAST_Tsuboyama_2023_1TG0,Stability,0.521865500391631,base
BCHB_CHLTE_Tsuboyama_2023_2KRU,Stability,0.4496155528108227,base
BLAT_ECOLX_Deng_2012,OrganismalFitness,0.5101578452801734,base
BLAT_ECOLX_Firnberg_2014,OrganismalFitness,0.7075998011544036,base
BLAT_ECOLX_Jacquier_2013,OrganismalFitness,0.6768696469542885,base
BLAT_ECOLX_Stiffler_2015,OrganismalFitness,0.7059123680713121,base
C6KNH7_9INFA_Lee_2018,OrganismalFitness,-0.0096214871292267,base
CALM1_HUMAN_Weile_2017,OrganismalFitness,0.2700275227040217,base
CAPSD_AAV2S_Sinai_2021,OrganismalFitness,0.2101099926254066,base
CASP3_HUMAN_Roychowdhury_2020,Activity,0.6587581769604594,base
CASP7_HUMAN_Roychowdhury_2020,Activity,0.6478672204506041,base
CATR_CHLRE_Tsuboyama_2023_2AMI,Stability,0.6365398698275225,base
CBPA2_HUMAN_Tsuboyama_2023_1O6X,Stability,0.7668344480759534,base
CBS_HUMAN_Sun_2020,OrganismalFitness,0.3942755278832844,base
CBX4_HUMAN_Tsuboyama_2023_2K28,Stability,0.6266834649569292,base
CCDB_ECOLI_Adkar_2012,Activity,0.4755336681830675,base
CCDB_ECOLI_Tripathi_2016,OrganismalFitness,0.5420882044829344,base
CCR5_HUMAN_Gill_2023,Binding,0.3488026978113901,base
CD19_HUMAN_Klesmith_2019_FMC_singles,Binding,0.0654062487063856,base
CP2C9_HUMAN_Amorosi_2021_abundance,Expression,0.6081201441924831,base
CP2C9_HUMAN_Amorosi_2021_activity,Binding,0.6338343466449011,base
CSN4_MOUSE_Tsuboyama_2023_1UFM,Stability,0.5141824656357227,base
CUE1_YEAST_Tsuboyama_2023_2MYX,Stability,0.5084413524896796,base
D7PM05_CLYGR_Somermeyer_2022,Activity,0.0697569473161456,base
DLG4_HUMAN_Faure_2021,OrganismalFitness,0.557277703931319,base
DLG4_RAT_McLaughlin_2012,Binding,0.574896907426773,base
DN7A_SACS2_Tsuboyama_2023_1JIC,Stability,0.2755204397491775,base
DNJA1_HUMAN_Tsuboyama_2023_2LO1,Stability,0.7774571469263049,base
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,Stability,0.4770993122017286,base
DYR_ECOLI_Nguyen_2023,OrganismalFitness,0.5317103840431621,base
DYR_ECOLI_Thompson_2019,OrganismalFitness,0.5007303837475975,base
ENV_HV1B9_DuenasDecamp_2016,OrganismalFitness,0.3903061979464484,base
ENV_HV1BR_Haddox_2016,OrganismalFitness,0.3230802775751301,base
ENVZ_ECOLI_Ghose_2023,Activity,0.1780388272299845,base
EPHB2_HUMAN_Tsuboyama_2023_1F0M,Stability,0.815354136132538,base
ESTA_BACSU_Nutschel_2020,Stability,0.3389365317443207,base
F7YBW8_MESOW_Ding_2023,OrganismalFitness,0.4935325622807875,base
F7YBW8_MESOW_Aakre_2015,OrganismalFitness,0.4143194828802554,base
FECA_ECOLI_Tsuboyama_2023_2D1U,Stability,0.5527909904819553,base
FKBP3_HUMAN_Tsuboyama_2023_2KFV,Stability,0.1525974729355847,base
GAL4_YEAST_Kitzman_2015,OrganismalFitness,0.4348228133898862,base
GCN4_YEAST_Staller_2018,Binding,0.2397684208976355,base
