family,assay_type,spearman,model
A0A192B1T2_9HIV1_Haddox_2018,OrganismalFitness,0.4783025361394646,m0
A0A1I9GEU1_NEIME_Kennouche_2019,Activity,0.0583021868523538,m0
A0A247D711_LISMN_Stadelmann_2021,Activity,0.0960823844746496,m0
A0A2Z5U3Z0_9INFA_Doud_2016,OrganismalFitness,0.0457020808070823,m0
A0A2Z5U3Z0_9INFA_Wu_2014,OrganismalFitness,0.0898688747501938,m0
A4_HUMAN_Seuma_2022,Stability,0.5169140567228255,m0
A4D664_9INFA_Soh_2019,OrganismalFitness,0.0279362782029912,m0
A4GRB6_PSEAI_Chen_2020,OrganismalFitness,0.6800962976863746,m0
AACC1_PSEAI_Dandage_2018,OrganismalFitness,0.5188892723479347,m0
ACE2_HUMAN_Chan_2020,Binding,0.2327928840002188,m0
ADRB2_HUMAN_Jones_2020,Activity,0.5395595269339003,m0
AICDA_HUMAN_Gajula_2014_3cycles,Activity,0.2878844913067916,m0
AMFR_HUMAN_Tsuboyama_2023_4G3O,Stability,0.3639952591908846,m0
AMIE_PSEAE_Wrenbeck_2017,Activity,0.4553986469242143,m0
ANCSZ_Hobbs_2022,Activity,0.5924511872468371,m0
ARGR_ECOLI_Tsuboyama_2023_1AOY,Stability,0.5845722354441529,m0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,Binding,0.1654053326817931,m0
BBC1_YEAST_Tsuboyama_2023_1TG0,Stability,0.521865500391631,m0
BCHB_CHLTE_Tsuboyama_2023_2KRU,Stability,0.4496155528108227,m0
BLAT_ECOLX_Deng_2012,OrganismalFitness,0.5101578452801734,m0
BLAT_ECOLX_Firnberg_2014,OrganismalFitness,0.7075998011544036,m0
BLAT_ECOLX_Jacquier_2013,OrganismalFitness,0.6768696469542885,m0
BLAT_ECOLX_Stiffler_2015,OrganismalFitness,0.7059123680713121,m0
C6KNH7_9INFA_Lee_2018,OrganismalFitness,-0.0096214871292267,m0
CALM1_HUMAN_Weile_2017,OrganismalFitness,0.2700275227040217,m0
CAPSD_AAV2S_Sinai_2021,OrganismalFitness,0.2101099926254066,m0
CASP3_HUMAN_Roychowdhury_2020,Activity,0.6587581769604594,m0
CASP7_HUMAN_Roychowdhury_2020,Activity,0.6478672204506041,m0
CATR_CHLRE_Tsuboyama_2023_2AMI,Stability,0.6365398698275225,m0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,Stability,0.7668344480759534,m0
CBS_HUMAN_Sun_2020,OrganismalFitness,0.3942755278832844,m0
CBX4_HUMAN_Tsuboyama_2023_2K28,Stability,0.6266834649569292,m0
CCDB_ECOLI_Adkar_2012,Activity,0.4755336681830675,m0
CCDB_ECOLI_Tripathi_2016,OrganismalFitness,0.5420882044829344,m0
CCR5_HUMAN_Gill_2023,Binding,0.3488026978113901,m0
CD19_HUMAN_Klesmith_2019_FMC_singles,Binding,0.0654062487063856,m0
CP2C9_HUMAN_Amorosi_2021_abundance,Expression,0.6081201441924831,m0
CP2C9_HUMAN_Amorosi_2021_activity,Binding,0.6338343466449011,m0
CSN4_MOUSE_Tsuboyama_2023_1UFM,Stability,0.5141824656357227,m0
CUE1_YEAST_Tsuboyama_2023_2MYX,Stability,0.5084413524896796,m0
D7PM05_CLYGR_Somermeyer_2022,Activity,0.0697569473161456,m0
DLG4_HUMAN_Faure_2021,OrganismalFitness,0.557277703931319,m0
DLG4_RAT_McLaughlin_2012,Binding,0.574896907426773,m0
DN7A_SACS2_Tsuboyama_2023_1JIC,Stability,0.2755204397491775,m0
